Organisation,Adresse,Webseite,E-Mail,Telefonnummer,Stellenangebote,Foerderbedarfe,Profil,Wirkunskreise,Stellenangebote_Beschreibung,Veranstaltungen_Beschreibung,Foto,Film
arche noVa – Initiative für Menschen in Not e.V.,"Weißeritzstraße 3 
 01067 Dresden",https://arche-nova.org/,'info'@'arche-nova.org',03514819840,,['Geldspende'],"Schwerpunkt: Wasser, Sanitär, Hygiene
Gegründet 1992 in Dresden von Sven Seifert und einer Hand voll junger Menschen, die einen Hilfsgütertransport nach Irakisch-Kurdistan organisierten, widmet sich arche noVa heute schwerpunktmäßig WASH-Projekten, die die drei Komponenten Wasser, Sanitär und Hygiene miteinander verbinden. Denn über 850 Millionen Menschen holen ihr Wasser Tag für Tag aus ungeschützten Quellen, Tümpeln oder Flussläufen – mit erheblichen Gefahren für ihre Gesundheit.
Wir setzten uns dafür ein, dass all diese Menschen Zugang zu sauberem Trinkwasser und sanitärer Grundversorgung bekommen. Für die unterstützten Menschen bedeutet dies mehr Gesundheit, größere Ernährungssicherheit, neue Einkommensmöglichkeiten und die Perspektive auf ein selbstbestimmtes Leben. Dabei arbeitet arche noVa vor allem in ländlichen Gebieten, wo der Zugang zu sauberem Wasser besonders problematisch ist. Gemeinsam mit der einheimischen Bevölkerung entwickeln wir individuelle Lösungen und setzen dabei vor allem auf lokale Baumaterialien sowie angepasste und einfach zu wartende Technologien. Mit lokalen Partnerorganisationen und den Dorfgemeinschaften arbeiten nach dem Prinzip der Hilfe zur Selbsthilfe zusammen und stärken gezielt die Zivilgesellschaft.
Schnelle Hilfe im Katastrophenfall
Mit mobilen Trinkwasseraufbereitungsanlagen, Wasserfiltern, Hilfsgüterverteilungen und ersten Wiederaufbaumaßnahmen stehen wir auch Menschen zur Seite, die von Katastrophen betroffen sind. Egal ob Dürren, Überschwemmungen, Erdbeben oder menschengemachte Konflikte: Humanitäre Katastrophen nehmen weltweit zu und ihre Folgen sind verheerend. Oft arbeitet arche noVa in Gebieten, die alles andere als einfach zu erreichen sind – in unmittelbarer Nähe der Frontlinie, ohne Zugangsmöglichkeit für internationale Fachkräfte, da wo nur mehrstündige Fußmärsche hinführen. Vor allem in der Nothilfe ist dabei hohe Flexibilität gefragt. Aber auch in längerfristigen Projekten arbeiten wir meist abseits der ausgetretenen Wege, um effizient und nachhaltig Menschen in Not unterstützen zu können.
Globales Lernen
In Deutschland und Europa zeigen wir mit Projekten zum Globalen Lernen die Zusammenhänge zwischen dem Globalen Norden und dem Globalen Süden auf und regen jungen Menschen dazu an, sich mit globalen Themen auseinanderzusetzen. Wir wollen sie für die Probleme und Ungleichheiten innerhalb der globalisierten Welt sensibilisieren, sie befähigen, eine eigene unabhängige Meinung zu entwickeln und sich der eigenen Verantwortung bewusst werden.
",,,,"['https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-1024x765.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-spenden.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-spenden-2-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-spenden-3.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-spenden-4-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-spenden-4-25-jahre-arche-nova-1-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/arache-nova-dresden-wash-experte-spenden-5-nothilfe-1024x768.jpg']",Watch the films here: https://edelmut.org/organisationen/arche-nova-initiative-fuer-menschen-in-not-e-v/#video
Deutsche AIDS-Stiftung,"Münsterstraße 18 
 53111 Bonn",http://www.aids-stiftung.de,,0228604690,,"['Geldspende', 'Zustiftung', 'Kooperation', 'Sponsor']","Hilfe für Menschen mit HIV/Aids seit 1987
Die Deutsche AIDS-Stiftung ist die größte Aids-Hilfsorganisation in Deutschland, die betroffenen Menschen materielle Unterstützung bietet und anlässlich ihrer Events über HIV und Aids informiert. Sie hilft seit über 30 Jahren bedürftigen Menschen mit HIV und Aids in Deutschland durch Einzelhilfen und durch die Unterstützung von Projekten wie beispielsweise Betreutes Wohnen. Darüber hinaus fördert die Stiftung seit dem Jahr 2000 ausgewählte Hilfsprojekte, etwa für Aidswaisen, Jugendliche, Mütter und ihre Kinder, vor allem im südlichen Afrika. Die Urstifter 1987 waren Rainer Ehlers, der Verband der Privaten Krankenversicherung e.V. (PKV) und das Deutsche Rote Kreuz.
",,,https://edelmut.org/veranstaltungen/26-festliche-operngala-berlin/,"['https://edelmut.org/wp-content/uploads/2019/08/IMG_5675-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/Mosambik-01-2018_IMG_5434_Copyright-Dr.-Ulrich-Heide-1024x778.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/DSC4930.jpg']",Watch the films here: https://edelmut.org/organisationen/deutsche-aids-stiftung/#video
Bundesverband Schädel-Hirnpatienten in Not e.V.,"Bayreuther Straße 33 
 92224 Armberg",https://www.schaedel-hirnpatienten.de/,'zentrale'@'schaedel-hirnpatienten.de',0962164800,,"['Geldspende', 'Zeitspende']","Bundesweite Notruf- und Beratungszentrale für Menschen mit erlittenem Schädel-Hirntrauma, Koma und/oder Wachkoma und danach sowie ihre Angehörigen.
Von Betroffenen für Betroffene bei: Schlaganfall, Schädel-Hirntrauma, Herzinfarkt, Wiederbelebung, Sauerstoffmangel, Aneurysma, Hirnhautentzündung, Ertrinkungsunfall, Geburtsschäden usw.
Ein kurzer Augenblick… es kann jeden zu jeder Zeit treffen – durch Unfall, Krankheit oder Sauerstoffmangel wird das Hirn geschädigt und das Leben verändert sich unwiderruflich.
Mit unserer Arbeit möchten wir dazu beitragen, dass von Wachkoma und schweren Hirnschädigungen Betroffene, ihre Angehörigen, Lebenspartner und Freunde sich über ihre Erfahrungen austauschen und wechselseitig stärken und unterstützen. Wir geben Hilfe zur Selbsthilfe, beraten und helfen bei einem Austausch unter Gleichbetroffenen und Fachpersonen aus Medizin, Therapie und Pflege.
Gemeinsam sind wir stark!
",,,,"['https://edelmut.org/wp-content/uploads/2019/08/020_20-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/Gruppenfoto_HSWW_2019_Bayreuth-2-1024x768.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/Bild-2-unser-Verband-1024x683.jpg']",
ChildFund Deutschland,"Laiblinstegstr. 7 
 72622 Nürtingen",https://www.childfund.de,,0702292590,,,"Kinderhilfswerk ChildFund Deutschland: Zusammen Kindern Zukunft schenken
Als starke Gemeinschaft von Unterstützern, Mitarbeitern und Partnern setzt sich ChildFund mit Sitz in Nürtingen weltweit dafür ein, benachteiligten und in Not geratenen Kindern und ihren Familien zu helfen und ihre Zukunftschancen zu verbessern. Unsere Vision ist eine Welt, in der Kinder in ihren Rechten geschützt sind, sich gesund entwickeln und frei entfalten können. Wir initiieren und begleiten nachhaltige Entwicklungsprojekte, die Menschen dazu befähigen, Armut und Abhängigkeit aus eigener Kraft zu überwinden.
Die Schwerpunkte der Projektarbeit unseres Kinderhilfswerks liegen in den Bereichen Ernährung, Bildung, Gesundheit, Existenzsicherung, Frauenförderung und Kinderschutz, zudem leisten wir Nothilfe in Krisenfällen. Seit 1995 trägt der Verein das renommierte Spenden-Siegel des Deutschen Zentralinstituts für soziale Fragen (DZI). Das garantiert, dass unsere Hilfe ankommt und Gutes bewirkt.
",,,,"['https://edelmut.org/wp-content/uploads/2019/08/RS46321_180614_046-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/RS47225_190209_068-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/RS47596_190129_025-1024x683.jpg']",
Copernicus e.V. Hamburg,"Mittelweg 11-12 
 20148 Hamburg",https://www.copernicus-stipendium.de/,,040395055,,,"Unsere Hauptzielsetzung ist es, einen interkulturellen Dialog zwischen Deutschland sowie osteuropäischen und postsowjetischen Staaten herzustellen. Um dies verwirklichen zu können, bietet der Copernicus e.V. Hamburg seit 1992 mit Unterstützung der FRoSTA AG, der Zeit-, Edmund-Siemers- sowie der Dürr- Stiftung, Studierenden aus Osteuropa, Zentralasien sowie Nordafrika die Möglichkeit, ein Auslandssemester an der Universität Hamburg zu absolvieren. Unsere Förderung sieht ebenfalls ein Pflichtpraktikum vor, durch welches unsere Stipendiatinnen und Stipendiaten erste internationale Geschäftskontakte knüpfen sollen.
Ebenfalls von Bedeutung: Die Vergabe von Stipendien findet jedes Semester statt, daher müssen potentielle Stipendiatinnen sowie Stipendiaten nicht ein Jahr bis zum nächsten Bewerbungsverfahren warten. Die Verpflegung und Unterbringung wird durch uns sowie kooperierende Gastfamilien gewährleistet.
",,,,['https://edelmut.org/wp-content/uploads/2019/08/Logo_Copernicus-1.png'],
Deutsche Multiple Sklerose Gesellschaft Landesverband Hamburg e.V.,"Eppendorfer Weg 154-156 
 20253 Hamburg",http://www.dmsg-hamburg.de/,'info'@'dmsg-hamburg.de',0404224433,"['Ehrenamt', 'BUFDI']","['Geldspende', 'Zustiftung', 'Kooperation']","Multiple Sklerose ist ist eine bislang unheilbare Erkrankung des zentralen Nervensystems. Sie bricht in den meisten Fällen im Alter zwischen 20 und 40 Jahren aus, wenn sich viele Menschen Gedanken über ihre berufliche und familiäre Zukunft machen, die nun nicht mehr planbar erscheint.
Die Krankheit ist in Verlauf, Beschwerdebild und Therapieerfolg von Patient zu Patient extrem unterschiedlich und lässt noch viele Fragen unbeantwortet.Diese Unsicherheit stellt eine besondere Belastung für die Betroffenen und ihre Familien dar.
Nach der Diagnose ist die DMSG in Hamburg die erste Anlaufstelle für Menschen mit MS. Wir begleiten diese bei allen Schwierigkeiten und Problemen, die im Zusammenhang mit der Erkrankung auftauchen können – oft ein Leben lang. Unsere Mitglieder unterstützen wir durch eine Vielzahl von Angeboten:

Individuelle Beratung durch unser sozialpädagogisches Beratungsteam
Hilfe bei der Antragsstellung und bei Widersprüchen, wenn z.B. der Rollstuhl nicht genehmigt oder die Reha abgelehnt wird
Psychologische Beratungsstelle
Fahrdienst für Menschen mit eingeschränkter Mobilität
Ehrenamtlicher Besuchsdienst
Selbsthilfegruppen
Arbeitsrechtliche Beratung
Seminare, Workshops und Vorträge

",,"Bundesfreiwilligendienst ab 1. September 2019!
Sie möchten sich sozial engagieren? Sie fahren gerne Auto, sind offen, freundlich und hilfsbereit? Dann sollten Sie sich überlegen, ob Sie einen Bundesfreiwilligendienst bei der DMSG in Hamburg machen möchten. Wir haben ab 1. September 2019 wieder eine freie Stelle und freuen uns über Unterstützung im Fahrdienst.

Sie werden bei uns vor allem für den Fahrdienst eingesetzt. Ohne ihn wäre es vielen unserer Mitglieder nicht mehr möglich, auswärtige Termine wahrzunehmen, Veranstaltungen zu besuchen oder sich überhaupt im öffentlichen und sozialen Leben außerhalb ihrer Wohnung zu bewegen. Der Fahrdienst ist also ein ganz wichtiges und beliebtes Kernangebot der DMSG. Sie holen die Fahrgäste zu Hause ab, bringen sie an ihren Wunschort und wieder zurück.
Ihre Einsätze sind sehr abwechslungsreich. Sie kommen mit den unterschiedlichsten Menschen, jüngeren und älteren, in Kontakt. Über den Fahrdienst hinaus fallen gelegentlich auch andere Tätigkeiten an: Manchmal benötigen Mitglieder Hilfe beim Einkaufen, Aufräumen oder bei kleinen Reparaturen. Oder jemand hat einfach nur Lust auf einen Spaziergang oder eine Partie Schach. Auch in der Dienststelle gibt es hin und wieder etwas für Sie zu tun, sowohl im handwerklichen als auch im Bürobereich.
Bitte bewerben Sie sich ausschließlich über das Online-Formular der Freiwilligendienste Hamburg: www.freiwilligendienste-hamburg.de/#online-bewerbung
Bei Interesse und für weitere Informationen wenden Sie sich bitte an unsere Geschäftsführerin Andrea Holz, Tel. 040-422 44 33, E-Mail: holz@dmsg-hamburg.de.

Außerdem suchen wir laufend Ehrenamtliche, zum Beispiel für unseren Besuchsdienst, für die (einmalige) Begleitung von Menschen mit MS zu Kultuveranstaltungen und zur Unterstützung auf unseren Veranstaltungen und Feiern. Für mehr Infos wenden Sie sich bitte an Nadja Philipp, Tel. 040-422 4433, E-Mail: philipp@dmsg-hamburg.de.
 
",,"['https://edelmut.org/wp-content/uploads/2019/07/dignas-adamek.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/Lisa-Yoga-768x1024.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/ms_forum-116-1024x681.jpg']",Watch the films here: https://edelmut.org/organisationen/deutsche-multiple-sklerose-gesellschaft-landesverband-hamburg-e-v/#video
Lukulule e.V.,"Stockmeyerstraße 43 
 20457 Hamburg",http://www.lukulule.de/lukulule/,'info'@'lukulule.de',04054752661,,"['Geldspende', 'Sponsor']","Seit fast zwei Jahrzehnten ist der gemeinnützige Verein Lukulule (von 1999 bis 2004 unter dem Namen HPH) fester Bestand-teil und Bereicherung der Hamburger Kinder und Jugendkultur. Lukulule versteht sich selbst als Teil der aktiven urbanen Kunst-Szene und ist Entstehungs-, Austausch- und Präsentationsort für diese Ausdrucksformen. Der Verein soll eine zentrale Anlaufstelle für Kinder und Jugendliche sein, die durch die vielfältigen urbanen Kunstformen sich und ihre Umwelt definieren und positionieren. So können sie sich als wichtige Mitglieder einer Gemeinschaft erleben. Wir möchten professionell und kreativ mit unseren Jugendlichen und Kids arbeiten und bieten einen offenen Raum für alle Menschen und besonders auch für jene, die in dieser Gesellschaft nicht in gleichem Maße anerkannt und unterstützt werden wie andere.
Unser Ziel ist es, einen Beitrag zu leisten auf dem Weg in eine Welt, in der Frieden, geistige Freiheit und die Gleichstellung aller Menschen auf der Basis eines respektvollen Miteinanders gewährleistet sind. Wir sind davon überzeugt, dass die derzeitigen und kommenden Herausforderungen in unserer Gesellschaft nicht länger mit Strategien, die auf Eigennutz und Vorteilsnahme beruhen gelöst werden können. Vielmehr ist es erforderlich, sich nachhaltig zu engagieren und unkonventionelle (d.h. kreative) Lösungen zu entwickeln und diese auch umzusetzen. Wir wollen Kinder und Jugendliche darin bestärken, Teil dieser Lösungen zu sein und wir üben mit ihnen ein, in ihren Projekten intelligente Strategien und kreative Lösungen zu finden, sich als wesentlichen Teil der selbst gesteckten Ziele zu verstehen und verantwortlich zu sein – sich selbst und anderen gegenüber. Für uns ist die Kunst (als Feld) und Lukulule (als Ort) unser Labor, indem wir Strategien und Umgangsformen erproben und ausloten. Dabei lassen wir unterschiedliche Perspektiven zu, indem wir plurale Lösungsansätze betrachten, Fehler zulassen, Wege aufweisen und gemeinsam lernen und wachsen. Wir wollen Kinderstimmen hören und respektieren, Menschen mit Besonderheiten wahrnehmen und -ismen (Rassismus, Sexismus,…) abbauen. Bei dieser Reise „in eine bessere Welt“ akzeptieren wir Scheitern und Lernen als einen fortlaufenden Prozess, der immer wieder neue Herausforderung für uns bereithält.
Lukulule vermittelt durch „Lust an Kunst Lust am Leben“. Das geschieht durch ein regelmäßiges wöchentliches Kursangebot an 7 Tagen in der Woche, diverse Workshop-Angebote sowie Projektreisen und Auftritte. Kursteilnehmer sind ca. 200 Kinder, Jugendliche und junge Erwachsene, die in den Kursen und Workshops ihren Alltag und ihre Erfahrungen thematisieren. Sie schreiben ihre Texte und Songs unter der Anleitung verschiedener künstlerischer Fachkräfte selbst und teilen sich hierüber ihrer Umwelt mit. Musik und Tanz, Theater und Gesang, HipHop und Breakdance fördern in der Gemeinschaft Toleranz und Respekt, Selbstbewusstsein und Aggressionsabbau. Durch die Erfahrungen bei und mit Lukulule überwinden sie kulturelle, soziale, ethnische oder religiöse Barrieren.
","Hamburg
",,,"['https://edelmut.org/wp-content/uploads/2019/07/Flyer7-1024x680.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/Halle-Montage-1024x705.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/Aufführung-ADSDA8.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/P1000314-1024x817.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/170426_Supahelden_GP-40-1024x684.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/IDW4-1024x684.jpeg', 'https://edelmut.org/wp-content/uploads/2019/07/ansicht_7961.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/15936539_1616894975284195_6809570638891671673_o-1024x684.jpeg', 'https://edelmut.org/wp-content/uploads/2019/07/12Yards-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/TobiasGloger3.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/TobiasGloger7.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/TobiasGloger8.jpg']",Watch the films here: https://edelmut.org/organisationen/lukulule-e-v/#video
Das macht Schule Förderverein e.V.,"Admiralitätstraße 58 
 20459 Hamburg",https://www.das-macht-schule.net/,,04060940999,"['Ehrenamt', 'FSJ']","['Geldspende', 'Zeitspende', 'Sponsor']","Deine Spende für eine starke Jugend!
Deine Spende ermöglicht Kinder in der Schule aufs Leben vorzubereiten und ihr Potenzial zu entfalten. Alles, was wir anbieten, ist kostenlos, damit alle etwas davon haben und nicht nur die, die es sich leisten können. Ebenso vermitteln wir kostenlos gebrauchte Computer aus Unternehmen an Schulen, um digitale Kompetenzen zu fördern. Um all das zu ermöglichen benötigen wir Spenden für die Entwicklung von Projektvorlagen für Praxisprojekte, für die Unterstützung von Schulen, Gehälter unserer Mitarbeiter, für Website, Miete, Strom und was sonst noch so alles anfällt. Wie die Mittel verwendet werden kannst du auf unserer Website unter “Transparenz” sehen.
Warum es uns gibt
Für den Erfolg einer Gesellschaft kömmt es auf jeden Einzelnen an. Jeder muss bereits von klein auf die Gelegenheit bekommen Kompetenzen zu erlernen, die er im 21. Jahrhundert braucht.
Wie wir unterstützen
Jeder Lehrer bekommt einen Ansprechpartner bewährte Projekt-Vorlagen und eine eigene Projektseite, mit dem sein Projekt Vorbild wird und „Schule machen“ kann. Alles kostenlos.
Was wir versprechen
Wir helfen Lehrern Praxisprojekte umzusetzen und Schüler damit stark für die Zukunft zu machen – durch die Chance zur Teilhabe und das Training wichtiger Kompetenzen.
",,"Mehr Infos hier: www.das-macht-schule.net/jobs
",,"['https://edelmut.org/wp-content/uploads/2019/07/DIR5064-ohne-Tesa-1024x651.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/SRW_1-1024x620.png', 'https://edelmut.org/wp-content/uploads/2019/07/20190508_075623-1024x576.jpg']",Watch the films here: https://edelmut.org/organisationen/das-macht-schule-foerderverein-e-v/#video
Das Geld hängt an den Bäumen,"Harkortstraße 79 
 22765 Hamburg",https://www.dasgeldhaengtandenbaeumen.de,'till'@'dasgeldhaengtandenbaeumen.de',04022645701,,"['Geldspende', 'Sachspende', 'Kooperation', 'Netzwerkpartner']","Wir ernten mit gesellschaftlichen Randgruppen ungenutztes Obst – oder wie wir sagen: mit vergessenen Menschen vergessene Ressourcen. Unterstützt werden wir dabei von Ehrenamtlichen, Freunden und Förderern unserer Idee. Die helfen uns nicht nur bei der Ernte, sondern auch mit großzügigen Obstspenden.
Neben gelegentlichen Zukäufen bei regionalen Händlern bewirtschaften wir mittlerweile eigene Pachtflächen und Streuobstwiesen mit überwiegend historischen Sorten.
Denn Vielfalt ist uns wichtig. Das gilt für Menschen und für den Geschmack unserer Säfte.
Im Familienbetrieb Auricher Süßmost lassen wir unsere naturtrüben Säfte und Schorlen herstellen: 100% Natur, 0% Zusatzstoffe. Das einzige Extra in der Flasche ist eine große Portion Liebe.
Wir haben viele treue Fans in Unternehmen, Restaurants, Cafés, im Handel und bei Privatkunden. Vielleicht auch deshalb, weil wir die Lieferung an die Haustür meist selbst übernehmen. Unsere Kunden beweisen seit über 10 Jahren guten Geschmack, so lange gibt es uns nämlich schon .
Das Beste: Jede verkaufte Flasche, jeder getrunkene Schluck hilft uns, Arbeitsplätze für vergessene Menschen zu schaffen. Sozialversicherungspflichtig, am ersten Arbeitsmarkt.  So ist unsere gemeinnützige GmbH zu einer Familie von über 20 Mitgliedern gewachsen.
Aber das ist längst noch nicht alles:

Wir haben erfolgreich eine Abteilung für professionelle Garten- und Landschaftspflege etabliert
Wir ernten vergessenes Obst und pflanzen historische Sorten auf eigenen Streuobstwiesen
Wir schaffen Biotope: Bienenvölker und Wildblumenwiesen inklusive
Wir entwickeln CSR-Konzepte, die es in sich haben. Kreativ. Ehrlich. Erfolgreich.

Shortfacts:

Gemeinnützige GmbH seit 2010, über 20 Mitarbeiter
Unser Auftrag: gesellschaftlicher Wandel
Unsere Passion: Vergessene Menschen und vergessenes Obst.
Säfte und Schorlen, Garten- und Landschaftspflege,
CSR-Konzepte, die es in sich haben

",,,,"['https://edelmut.org/wp-content/uploads/2019/07/190404_dGhadB_ganzesTeam_3395_weisserHG_klein.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/Foto-Simon-Samuel-Olaf-freigestellt-bearbeitet-1024x1024.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/190404-1024x683.png']",
Hamburger Fürsorgeverein,"Max-Brauer-Allee 138 
 22765 Hamburg",https://www.hamburger-fuersorgeverein.de,,040300337520,,,"

Hilfe für Gefangene und ihre Angehörigen
Der Hamburger Fürsorgeverein engagiert sich für die Resozialisierung straffällig gewordener Menschen und unterstützt unverschuldet mitbetroffene Angehörige.
Das Ziel ist die gesellschaftliche (Re-)Integration Straffälliger. Dazu unterhält der Verein zum einen die gemeinnützige Wohnheimgesellschaft mbH, die verschiedene Einrichtungen für Haftentlassene betreibt, die professionell und mit Finanzierung durch die Hamburger Sozialbehörde arbeiten.
Der Fürsorgeverein im engeren Sinne wird maßgeblich durch das Engagement ehrenamtlicher Mitarbeiter/-innen getragen. Diese betreiben zahlreiche Gruppen- und Einzelangebote innerhalb der Hamburger Justizvollzugsanstalten. Daneben bieten zwei Anlaufstellen Haftentlassenen und ihren Angehörigen Unterstützung und Beratung in allen Lebenslagen.
Zurzeit sind ca. 90 Ehrenamtliche aktiv im Einsatz. Sie kommen aus allen Altersgruppen und verschiedensten Berufen. Ihre Motivation besteht in der Einsicht, dass die Lebensläufe vieler Straffälliger von Gewalt, Armut und Sucht geprägt sind, und sich ihre Problemlage durch die Haft noch verschärft. Die Ehrenamtlichen setzen sich für die (Re-)Integration dieser Menschen ein, um den Einzelnen zu helfen, eine zweite Chance zu ermöglichen und den Opferschutz zu stärken.
Wer für ehrenamtlich tätig werden möchte, muss einen Vorbereitungskurs durchlaufen, der jährlich von Februar – Mai geht. Außerdem sind absolute Zuverlässigkeit, eine stabile Persönlichkeit und (zumindest gelegentlich) Tagesfreizeit Voraussetzung. Den Kursplan vom letzten Jahr können Sie hier einsehen: https://www.hamburger-fuersorgeverein.de/ehrenamt/ausbildung-ehrenamt/


",,,,['https://edelmut.org/wp-content/uploads/2019/07/weblogo_hfv.jpg'],
Freunde alter Menschen e.V.,"Hinrichsenstraße 34 
 20535 Hamburg",http://www.famev.de,,04032518317,,,"Niemand möchte gerne alleine und isoliert leben. Genau das ist aber für viele alte Menschen in Hamburg traurige Realität. Für mobile Menschen gibt es viele Möglichkeiten soziale Kontakte herzustellen. Für alte Menschen, die oft nicht mehr mobil sind, ist das viel schwieriger.
In Hamburg leben etwa 65.000 alleinstehende Menschen über 75 Jahren. Meist blieben sie zurück, als ihre Ehepartner starben. Viele von ihnen sind von Einsamkeit bedroht oder betroffen. Manche der alten alleinstehenden Menschen können die Wohnung nicht mehr oder nur mit fremder Hilfe verlassen.
Freunde alter Menschen stiften deshalb Besuchspartnerschaften zwischen jungen und alten Menschen. Unsere Freiwilligen besuchen regelmäßig einen alten Menschen. Jede Besuchspartnerschaft wird von unseren Mitarbeitern fachlich begleitet.
Wir setzen uns für dauerhafte Freundschaften ein, die auf gegenseitigem Respekt aufbauen. Wir finden in persönlichen Gesprächen heraus, wer gut zusammenpassen könnte.
",,,,"['https://edelmut.org/wp-content/uploads/2019/07/gritta-und-markus-1024x682.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/erna-und-hanna-1024x682.jpg', 'https://edelmut.org/wp-content/uploads/2019/07/Thoni-und-Hilde-1024x768.jpg']",
AUDIYOU,"Baumkamp 49 
 22299 Hamburg",https://www.audiyou.de/home/,'info'@'audiyou.de',04046071538,,"['Geldspende', 'Kooperation', 'Netzwerkpartner', 'Sponsor']","AUDIYOU (AUDIYOU gGmbH ist als gemeinnützig vom Finanzamt Hamburg-Nord anerkannt)  entwickelt Anwendungen und Projekte im Bereich von Zuhör- und Sprachförderung, Medienkompetenz und Persönlichkeitsentwicklung. Die Umsetzungen geschehen zum Teil mit analogen Schwerpunkten bis hin zu stark digitalen Realisierungen. Der Bereich der Website www.audiyou.de, Start 2008, ist als nicht-kommerzielle Plattform eine wichtige Unterstützung für Medienbildung in deutschsprachigen Bildungseinrichtungen weltweit. Hierfür erhielt AUDIYOU schon einige Auszeichnungen, wie Ort im Land der Ideen, PÄDI, u.s.w.
Die junge Website AUDIYOUkids (www.audiyoukids.de, Start 2016) wurde mit dem goldenen Spatzen als beste Website für Kinder 2016 ausgezeichnet. Hinzu kam der Pädi 2016 und im Dezember 2017 folgte der Siegel des Erfurter Netcodes. AUDIYOUkids konnte mit Unterstützung der Initiative: Ein Netz für Kinder (Bundesbeauftragte der Bundesregierung für Kultur und Medien) realisiert werden.
In Kooperationen entstanden in den vergangenen Jahren verschiedene Projekte wie: „Hörtmal Hamburg!“ mit dem Stadtteilkulturzentrum die Motte, gefoördert durch die PWC Stiftung und der jährliche Schülerwettbewerb: „Miteinander hören: Wie klingt…?“ mit dem Strassenmagazin Hinz&Kunzt, gefördert von der Joachim-Herz-Stiftung.
",,,,['https://edelmut.org/wp-content/uploads/2019/07/Logo_AUDIYOU-1.png'],
